session,session_date,direction,entry_time,exit_time,exit_reason,pnl_r,classification,gap_previous,gap_current,gap_classification
ASIA_7PM,2022-12-28,-1,2022-12-28T20:50:00,2022-12-29T01:19:00,STOP,-1.028358208955224,unsafe_gap_during_open_trade,2022-12-28T23:13:00,2022-12-28T23:15:00,small_missing_data
LONDON_2AM,2023-04-07,-1,2023-04-07T03:35:00,2023-04-07T04:29:00,STOP,-1.0431818181818182,unsafe_gap_during_open_trade,2023-04-07T03:57:00,2023-04-07T03:59:00,small_missing_data
ASIA_7PM,2023-06-06,-1,2023-06-06T21:15:00,2023-06-07T05:15:00,MAX_HOLD,1.25125,contaminated_session_range,2023-06-06T19:02:00,2023-06-06T19:04:00,small_missing_data
ASIA_7PM,2023-06-20,-1,2023-06-20T21:25:00,2023-06-21T00:27:00,BE,0.5836956521739131,unsafe_gap_during_open_trade,2023-06-21T00:23:00,2023-06-21T00:25:00,small_missing_data
LONDON_2AM,2024-04-10,-1,2024-04-10T05:45:00,2024-04-10T08:12:00,STOP,-1.0179245283018867,contaminated_session_range,2024-04-10T01:21:00,2024-04-10T01:23:00,small_missing_data
ASIA_7PM,2024-05-08,1,2024-05-08T22:05:00,2024-05-09T00:58:00,STOP,-1.023170731707317,contaminated_session_range,2024-05-08T19:38:00,2024-05-08T19:40:00,small_missing_data
ASIA_7PM,2024-05-16,-1,2024-05-16T22:35:00,2024-05-17T01:09:00,STOP,-1.0542857142857145,contaminated_session_range,2024-05-16T19:26:00,2024-05-16T19:28:00,small_missing_data
ASIA_7PM,2024-07-03,1,2024-07-03T21:50:00,2024-07-04T05:50:00,MAX_HOLD,-0.5628205128205128,contaminated_session_range,2024-07-03T19:18:00,2024-07-03T19:20:00,small_missing_data
NEW_YORK_9AM,2024-08-02,1,2024-08-02T11:45:00,2024-08-02T16:00:00,TIME_CLOSE,-0.3025505658002301,unsafe_gap_during_open_trade,2024-08-02T11:54:00,2024-08-02T12:03:00,medium_missing_data
ASIA_7PM,2025-07-29,-1,2025-07-29T21:30:00,2025-07-29T21:38:00,STOP,-1.0287878787878788,contaminated_session_range,2025-07-29T19:18:00,2025-07-29T19:20:00,small_missing_data
ASIA_7PM,2025-09-10,1,2025-09-10T21:40:00,2025-09-11T00:25:00,STOP,-1.0175925925925926,contaminated_session_range,2025-09-10T19:57:00,2025-09-10T19:59:00,small_missing_data
ASIA_7PM,2025-10-09,-1,2025-10-09T23:10:00,2025-10-10T01:42:00,BE,0.5877450980392157,contaminated_session_range,2025-10-09T19:36:00,2025-10-09T19:38:00,small_missing_data
NEW_YORK_9AM,2025-11-28,1,2025-11-28T11:00:00,2025-11-28T13:16:00,MAX_HOLD,1.324557522123894,contaminated_session_range,2025-11-27T21:45:00,2025-11-28T08:31:00,unclassified_long_gap
