slippage_ticks_each_side,variant,trades,expectancy_r,net_r,development_expectancy_r,validation_expectancy_r,research_later_expectancy_r
1,IFVG_OBSERVE,491,0.180235811449135,88.49578342152539,0.1957226473654047,0.1691586344420378,0.1770120928283138
1,IFVG_CONFIRM_ANY,455,0.1684192255060299,76.63074760524371,0.1878446674243034,0.1843140969789058,0.1196483604830336
1,IFVG_CONFIRM_RECENT_3,318,0.1683854938560174,53.54658704621353,0.2221097926721294,0.1973574854225625,0.0444503524071774
1,IFVG_CONFIRM_RECENT_6,367,0.1575028211555424,57.80353536408406,0.1674840012792012,0.2384562968674305,0.0638009137278475
1,IFVG_CONFIRM_RECENT_12,432,0.1603467854143801,69.26981129901229,0.1728966768610148,0.2222685115036855,0.0800356420178218
1,IFVG_ZONE_TOUCH,212,0.1533685776380642,32.51413845926964,0.1853121925296046,0.1222117964486925,0.1153586136578044
2,IFVG_OBSERVE,491,0.1607567597550798,78.9315690397442,0.1647936578905243,0.1604850874193684,0.1693199606229135
2,IFVG_CONFIRM_ANY,455,0.1483211707637004,67.48613269748371,0.1557233115003245,0.1756003349720152,0.1121869796606755
2,IFVG_CONFIRM_RECENT_3,318,0.1450919641508531,46.13924459997133,0.1824378643463522,0.189278945071781,0.0372027499670976
2,IFVG_CONFIRM_RECENT_6,367,0.1358022925617494,49.83944137016204,0.1318523393732294,0.229860643207797,0.0565008280331024
2,IFVG_CONFIRM_RECENT_12,432,0.1397526170548284,60.3731305676859,0.1397663033321462,0.2134733326181321,0.0727887979410984
2,IFVG_ZONE_TOUCH,212,0.1336971527542537,28.343796383901804,0.1560505199558345,0.112019104381621,0.106963809317022
4,IFVG_OBSERVE,491,0.1445288914762691,70.96368571484817,0.1416408474117129,0.1445327964401367,0.1669807033366625
4,IFVG_CONFIRM_ANY,455,0.1325661725685091,60.31760851867165,0.1327919288943493,0.1596447088051683,0.111312723350763
4,IFVG_CONFIRM_RECENT_3,318,0.1325159156447124,42.14006117501852,0.1618854828062995,0.1748566387630649,0.0422138094956767
4,IFVG_CONFIRM_RECENT_6,367,0.1219981034290006,44.77330395844323,0.1108248712687495,0.214320038301791,0.0591034617932562
4,IFVG_CONFIRM_RECENT_12,432,0.1250057750206423,54.00249480891748,0.1183534802235061,0.1974153219880564,0.0729662129657796
4,IFVG_ZONE_TOUCH,212,0.1024704701130279,21.723739663961933,0.1116346070922091,0.0943711240397768,0.0906584348920561
