resampling_method,cost_scenario,risk_fraction,iterations,final_equity_p05,final_equity_p25,final_equity_p50,final_equity_p75,final_equity_p95,maximum_drawdown_pct_p50,maximum_drawdown_pct_p75,maximum_drawdown_pct_p90,maximum_drawdown_pct_p95,maximum_drawdown_pct_p99,probability_final_below_start,probability_drawdown_ge_10pct,probability_drawdown_ge_20pct,probability_drawdown_ge_30pct,longest_losing_streak_p50,longest_losing_streak_p90,longest_losing_streak_p95,longest_losing_streak_p99,time_under_water_trades_p50,time_under_water_trades_p90,time_under_water_trades_p95,time_under_water_trades_p99,warning_labels
DATE_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.005,20000,105671.59823617776,117997.71147732424,126802.95781777566,136559.73558906058,152478.2128108873,0.06101192256071819,0.07662847580457985,0.09474630390625481,0.1083223688116745,0.13596529839864904,0.01585,0.0775,0.00025,0.0,7.0,9.0,10.0,12.0,74.0,152.0,186.0,254.0099999999984,NO_FROZEN_WARNING
DATE_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.01,20000,110475.14697931254,137557.27450646972,158870.1712853436,184157.47721887875,229404.3892878685,0.11936745519844061,0.14885682063471958,0.18242596813817774,0.20708922409246425,0.25676777250672395,0.0179,0.7191,0.0622,0.00215,7.0,9.0,10.0,12.0,76.0,156.0,189.04999999999927,257.0099999999984,DD10_WATCH|DD20_WATCH
DATE_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.015,20000,114223.9676569299,158515.50695051852,196683.4078704379,245304.55071643705,340419.311485331,0.17517774533701808,0.21677639320195116,0.26367816812748324,0.2971523894921382,0.36313970321324635,0.0208,0.97925,0.3369,0.047,7.0,9.0,10.0,12.0,77.0,159.0,196.0,262.0,DD10_WATCH|DD20_WATCH|DD30_WATCH
MONTH_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.005,20000,107460.61433802026,118241.74576952563,126709.93320095536,135868.21189974964,150603.0517747381,0.05432932191936979,0.06682035936905906,0.08168167275089763,0.09267494367852205,0.11695109593712379,0.009,0.03095,0.00005,0.0,6.0,7.0,7.0,7.0,73.0,147.0,179.0,247.0,NO_FROZEN_WARNING
MONTH_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.01,20000,114168.16127724497,138212.3275266345,158593.72779431142,182285.05168039165,223839.5792826439,0.10674201053391047,0.13060359673956146,0.15872096433376873,0.1791282971652925,0.2227510076163206,0.0104,0.59155,0.02365,0.0005,6.0,7.0,7.0,7.0,74.0,150.0,182.0,250.0,DD10_WATCH
MONTH_BLOCK,NORMAL_1_TICK_EACH_SIDE,0.015,20000,120002.17426071363,159661.94946408295,196132.56190920016,241579.8408643245,328197.2589147552,0.15733744114127773,0.19153244921869766,0.23103367978025857,0.25923998727565695,0.31842888390129365,0.0122,0.9673,0.20485,0.01775,6.0,7.0,7.0,7.0,76.0,154.0,187.0,257.0,DD10_WATCH|DD20_WATCH|DD30_WATCH
DATE_BLOCK,MODERATE_2_TICKS_EACH_SIDE,0.005,20000,103144.02591031977,114605.30826312792,123454.74279488501,132904.67927379644,148035.36184069095,0.06492053984251933,0.0819866674643038,0.1021514728134847,0.11583757131622957,0.14790010952806404,0.0281,0.1104,0.00035,0.0,7.0,9.0,10.0,12.0,82.0,171.0,207.0,278.0,DD10_WATCH
DATE_BLOCK,MODERATE_2_TICKS_EACH_SIDE,0.01,20000,105140.18138086738,129796.07208296802,150547.91334013332,174462.134126266,216248.93918159767,0.1267878254021983,0.15896508737804096,0.19616046008693971,0.2207548140486479,0.27777145229052674,0.0307,0.77845,0.0905,0.0048,7.0,9.0,10.0,12.0,84.0,174.0,212.0,281.0099999999984,DD10_WATCH|DD20_WATCH
DATE_BLOCK,MODERATE_2_TICKS_EACH_SIDE,0.015,20000,106029.28686357061,145291.46563764417,181419.92897600937,226103.84696416708,311950.86359612626,0.18577615009508897,0.2313425104852219,0.282485317839681,0.3156375622501135,0.3897215763421421,0.0345,0.9874,0.4082,0.0708,7.0,9.0,10.0,12.0,85.0,179.0,217.0,283.0,DD10_WATCH|DD20_WATCH|DD30_WATCH
MONTH_BLOCK,MODERATE_2_TICKS_EACH_SIDE,0.005,20000,104284.93256812371,115125.27000316477,123447.32302493122,132680.82901516234,147028.00734075415,0.05813053459795314,0.0722366865093251,0.08918636210739869,0.10102796110616054,0.12754922950601671,0.01885,0.05325,0.0001,0.0,6.0,7.0,7.0,7.0,81.0,165.0,202.0,275.0,NO_FROZEN_WARNING
