category,observed_net_r,date_blocks,ci_low_r,ci_high_r,prob_positive
FOMC_DAY,-5.558986884983001,13,-13.003933715716352,3.0135549305469977,0.09545
FOMC_PRE,-7.618852964020001,8,-11.475030012548002,-3.2667423041338757,0.0001
FOMC_POST,2.0598660790370005,5,-3.458644162531,7.578376320605,0.74125
FOMC_CROSSING,-0.4048593247590001,2,-2.012218649518,1.2025,0.25465
CPI_DAY,1.7580679104219996,18,-8.769949319796174,13.421352883169765,0.61535
CPI_PRE,0.748465037616,8,-6.5221122158,9.984990590774647,0.5575
CPI_POST,1.009602872806,10,-5.299164213536325,8.406195363604542,0.59635
CPI_CROSSING,4.820746458569,4,-0.7910602910599999,10.432553208198,0.9226
NFP_DAY,1.3704940632130005,9,-5.2491118548259985,8.684398476759048,0.63875
NFP_PRE,-0.8568889660289997,4,-4.066123973113999,2.352346041056,0.3123
NFP_POST,2.227383029242,5,-3.7073284105069995,8.162094468991,0.7092
NFP_CROSSING,-1.014615384615,1,-1.014615384615,-1.014615384615,0.0
EXPIRATION_DAY,0.5860096416990004,3,-3.03275862069,7.8116666666670005,0.69915
EXPIRATION_WEEK,-2.0858621308149994,26,-14.140291397959425,11.345639740097523,0.36595
ROLL_DAY,0.0,0,,,
ROLL_WINDOW,-0.5758652580270003,24,-12.792504257032824,13.319049273490615,0.46025
EARLY_CLOSE,-1.025333333333,1,-1.025333333333,-1.025333333333,0.0
HOLIDAY_SHORTENED,-1.027536231884,1,-1.027536231884,-1.027536231884,0.0
