candidate,type,metrics_verified,observed_net_delta_r,lo95_net_delta_r,hi95_net_delta_r,prob_delta_positive
I1_NOT_COMPRESSED_AND_NOT_NEAR_PRIOR_DAY,interaction,True,14.196618740992392,-23.19523775501691,51.371373299371136,0.7764
I4_NOT_D1_COUNTERTREND_AND_NOT_COMPRESSED,interaction,True,13.206620664252116,-24.45651314886411,50.469939684497106,0.75905
I6_NOT_MIDDLE_D1_VOL_AND_NOT_COMPRESSED,interaction,True,9.780320977753096,-25.141729818591084,44.65285162427954,0.70915
E5_EXCLUDE_COMPRESSED_RANGE,broad,True,6.886908358963292,-20.11052047864546,33.5717469034137,0.6969
E6_EXCLUDE_NEAR_PRIOR_DAY_DIRECTIONAL_EXTREME,broad,True,6.360034523838156,-25.09854418983278,36.970624117550166,0.6615
E4_EXCLUDE_MIDDLE_D1_VOLATILITY,broad,True,6.352339134092492,-19.276828942353816,31.855534192097046,0.6871
I2_MIXED_NEUTRAL_CONFLUENCE_AND_NOT_COMPRESSED,interaction,True,5.877453807331979,-32.665565051898156,44.37614058311425,0.62145
E3_KEEP_MIXED_OR_NEUTRAL_CONFLUENCE,broad,True,4.919046180149046,-28.52825019113281,38.381977487256485,0.61905
E2_EXCLUDE_H4_COUNTERTREND,broad,True,0.9228772759134329,-26.968464208917766,28.691540737314103,0.53135
I3_MIXED_NEUTRAL_CONFLUENCE_AND_NOT_NEAR_PRIOR_DAY,interaction,True,-1.3691680139855418,-42.559002179049735,39.15997624551275,0.47475
I5_NOT_D1_COUNTERTREND_AND_NOT_NEAR_PRIOR_DAY,interaction,True,-2.8634487981443772,-41.99009353528322,35.26137871857088,0.45165
E1_EXCLUDE_D1_COUNTERTREND,broad,True,-3.2271236019851948,-34.25412544399985,26.53484160457294,0.4287
