family,category,qualifying_signals,available_signals,eligible_sessions,r_per_100_sessions,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r,two_tick_expectancy_r,four_tick_expectancy_r,month_bootstrap_lo95,month_bootstrap_hi95,date_bootstrap_lo95,date_bootstrap_hi95,session_max_net_share,halfyear_max_net_share,net_2023,net_2024,net_2025,net_2023H1,net_2023H2,net_2024H1,net_2024H2,net_2025H1,net_2025H2,incremental_t_per_session,familywise_incremental_p,edge_t_per_session,familywise_edge_p,gate_sample,gate_effect,gate_return_dd,gate_years,gate_cost,gate_concentration,gate_familywise,decision,halfyears_expectancy_above_baseline,interaction_parent_eligible
F10_OVERNIGHT_GAP,continuation_aligned,109,478,1666,1.4164209491856372,106,0.22261861333427077,0.592084826762246,1.561194075924436,0.5849056603773585,4.429715754936409,23.597573013432715,5.327107724042097,208.17924528301887,1.4756184259057863,0.7055720301271944,0.207963674833191,0.1786537978310315,0.0469512260973726,0.42625977463411835,0.013055897067420736,0.45327356243687794,0.38228035682526323,0.4683520344609628,0.32778826218465673,15.17555463149002,8.09423011975802,0.5178580880796941,-0.19006982589503751,11.051971329182324,4.123583302307698,2.9390038843297024,5.155226235428317,-0.7791204668255444,1.0,1.9503658670328905,0.05358928214357129,False,True,True,True,True,True,False,REJECT,4.0,False
F1_D1_DIRECTION,aligned,206,492,1666,2.2009983008190135,204,0.17974819456688615,0.2900945247012663,1.3790406362933847,0.5147058823529411,7.790766182495425,36.66863169164477,4.706678500252411,218.12745098039215,1.4632711589243044,0.7264180562277643,0.161659224374793,0.12548128399060668,-0.0006176068218191351,0.3573225695557545,0.0037163194307371188,0.35236641979719513,0.5967440617322011,0.5294678444813651,4.316767467510175,28.089059223127737,4.262805001006864,1.022972235078596,3.2937952324315787,19.414861381856227,8.674197841271509,0.5389750412005769,3.7238299598062854,-0.28983243488464455,1.0,1.98727450882489,0.052389522095580884,False,True,True,True,True,True,False,REJECT,4.0,False
F2_H4_DIRECTION,neutral,130,492,1666,2.3319645438342347,127,0.3059096795297506,0.5033956500266134,1.6809378480129618,0.5511811023622047,8.772205447428469,38.850529300278346,4.428821182211048,212.98425196850394,1.5945549116930298,0.7010607128564119,0.28743775867052196,0.2504939169520647,0.04886110238364474,0.5389244852597965,0.07913856991865818,0.5533309155261502,0.9275038386775858,0.30905286262131215,12.453600686700966,22.34056571076273,3.9339652605145528,6.377448734964486,6.076151951736481,10.33369841615854,12.006867294604186,4.65663737471419,-0.7226721141996381,-0.1681949027967359,1.0,2.4604952021270283,0.015596880623875225,False,True,True,True,True,False,False,REJECT,5.0,False
F3_DIRECTION_CONFLUENCE,mixed,48,492,1666,0.9253646780702767,46,0.3351429464489307,0.5901346801346801,1.8430812540213255,0.5869565217391305,3.7791849864630933,15.41657553665081,4.079338691244922,236.67391304347825,1.6254231839487836,0.7360680095629136,0.3197203320016309,0.2888751031070312,-0.01711364633417856,0.6845063588544799,-0.015541539475812667,0.6879697412023404,0.6419422336346114,0.5761560416926406,-0.2949520494841005,4.929524637165706,10.782002948969208,-1.3516262652458428,1.0566742157617421,5.173821897122973,-0.24429725995726526,1.8996498113168803,8.882353137652327,-1.059300826284177,1.0,1.7335225530391374,0.13097380523895222,False,True,True,True,True,False,False,REJECT,0.0,False
F7_VOLATILITY_TRANSITION,expanding,126,473,1666,1.5407384107018167,125,0.2053496153783381,0.23843537414965987,1.4602085084120318,0.512,6.612231021778616,25.668701922292268,3.8820031904129806,207.416,1.4972088390632816,0.7399244542041351,0.19058105076859885,0.16104392154912037,0.025897657424528837,0.37196676693503306,-0.027347154411638642,0.42604341805620805,0.3747155386417781,0.3667256122068463,8.148474118230675,7.502168587074724,10.018059216986865,6.043862436639365,2.104611681591307,5.436824227151147,2.0653443599235763,0.6046887899791813,9.413370427007685,-0.7363437542237029,1.0,1.7745613772329887,0.09598080383923216,False,True,True,True,True,True,False,REJECT,5.0,False
F12_VWAP_AND_VALUE_LOCATION,reversion_toward_value,94,492,1666,1.3646093742267598,94,0.24185523590018965,0.40203018707482996,1.4837063982450682,0.5106382978723404,5.95214706623144,22.734392174617817,3.8195279655635153,174.4468085106383,1.6837198083837637,0.7699859488960733,0.218913989912573,0.1730314979373397,-0.05813897271399557,0.579689754442047,-0.03613172609273727,0.5321707318483654,0.6535912972994392,0.5451828891908431,0.9598544055728675,15.264898645452394,5.911028012481452,0.45134401567606464,0.5085103898968053,12.394401609755837,2.8704970356965545,2.750442879298809,3.160585133182644,-0.8271503565492241,1.0,1.643385394983381,0.1187762447510498,False,True,True,True,True,False,False,REJECT,4.0,False
F6_RANGE_VOLATILITY_FIT,expanded,150,449,1666,1.5960837070235558,147,0.1808894867960029,0.3488888888888889,1.3987516906016948,0.5238095238095238,7.381480490087345,26.590754559012442,3.6023606097342395,219.1360544217687,1.4058010801744028,0.7058771203715791,0.16716866021906712,0.1397270070651956,-0.04947093323502741,0.4140690702167514,-0.02601567555985208,0.3990852459068882,0.39533848650222375,0.6736140260225051,3.0837914589272986,17.443170775279658,6.063792324805466,-0.3640775829149683,3.4478690418422677,17.911905233472652,-0.468734458192992,4.819269134360508,1.2445231904449594,-0.7097866735302333,1.0,1.7457855456072733,0.10697860427914417,False,True,True,True,True,False,False,REJECT,3.0,False
F8_PRIOR_DAY_LOCATION,inside_midrange,230,478,1666,2.318216149679238,226,0.17089150908697381,0.016655245323549644,1.3501354100204068,0.5,10.931946160506769,38.621481053656105,3.5329007741715537,204.92920353982302,1.4931138291975488,0.7359090036682988,0.15228515035818457,0.11507243290060602,0.016510935716591516,0.3192089256586291,0.010326387102651914,0.34036082791113104,0.5623201794583707,0.3494833068934277,13.115168956095147,18.96022895269399,6.546083144866952,12.742903478969362,0.3722654771257845,13.497562915753601,5.462666036940389,1.539781655600853,5.0063014892660975,-0.21236702997842927,1.0,1.9423824981222182,0.05598880223955209,False,True,True,True,True,True,False,REJECT,5.0,False
F11_VOLUME_CONTEXT,normal,177,473,1666,1.7152451608966188,177,0.16144623943806602,0.13083333333333333,1.3343861451136043,0.5084745762711864,8.77956405401125,28.57598438053767,3.2548295342160793,190.75141242937852,1.43901913551478,0.7228402824034402,0.14263850334045797,0.10502303114524204,0.0023550708153276655,0.32881835069497184,-0.03130229597146679,0.3651805202696088,0.6090784966933536,0.4307052124669313,8.593391671677182,19.381832938093698,0.6007597707667998,8.906989949566821,-0.3135982778896389,7.074007514022513,12.307825424071186,-0.8007632008917227,1.401522971658523,-0.6668961959107548,1.0,1.6504395131128198,0.13517296540691862,False,True,True,True,True,False,False,REJECT,3.0,False
F3_DIRECTION_CONFLUENCE,one_or_both_neutral,219,492,1666,1.925569366538539,215,0.1492092355652654,-0.02471264367816092,1.2990069717750172,0.49767441860465117,10.20992288830065,32.07998564653206,3.142039954414532,202.1953488372093,1.446298499424486,0.7302832806540849,0.13143302246914076,0.09588059627689136,-0.02206920138253145,0.3261753174533632,-0.026729603142475952,0.3271897358177837,0.7321197801385962,0.3326323708423301,8.38761491491967,20.605773757365295,2.9641993319470084,5.760802375421585,2.6268125394980824,10.67084168219388,9.934932075171416,2.6805894190008654,0.2836099129461425,-0.5494206149310986,1.0,1.6555106598973426,0.15736852629474105,False,True,True,True,True,False,False,REJECT,5.0,False
