contract_month,third_friday,calendar_roll_candidate,nearest_market_date
2023-03,2023-03-17,2023-03-09,2023-03-09
2023-06,2023-06-16,2023-06-08,2023-06-08
2023-09,2023-09-15,2023-09-07,2023-09-07
2023-12,2023-12-15,2023-12-07,2023-12-07
2024-03,2024-03-15,2024-03-07,2024-03-07
2024-06,2024-06-21,2024-06-13,2024-06-13
2024-09,2024-09-20,2024-09-12,2024-09-12
2024-12,2024-12-20,2024-12-12,2024-12-12
2025-03,2025-03-21,2025-03-13,2025-03-13
2025-06,2025-06-20,2025-06-12,2025-06-12
2025-09,2025-09-19,2025-09-11,2025-09-11
