arm,trades,net_r,expectancy_r,one_pip_each_side_expectancy_r,max_drawdown_r,positive_years
P0_TUE_FRI_ALL,669,-52.145673,-0.077946,-0.109283,59.904207,0
P1_MON_FRI_ALL,837,-70.519957,-0.084253,-0.116149,71.853057,0
P2_TUE_FRI_NO_ASIA,527,-37.629675,-0.071404,-0.099831,55.172465,0
P3_MON_FRI_NO_ASIA,646,-53.924483,-0.083474,-0.112665,64.897578,0
S1_LONDON_ONLY,284,-24.659904,-0.086831,-0.117282,31.894810,1
S2_NEW_YORK_ONLY,266,-19.961810,-0.075044,-0.100991,31.242317,1
S3_ASIA_ONLY,168,-14.755832,-0.087832,-0.128075,20.072876,1
S4_LONDON_NEW_YORK,527,-37.629675,-0.071404,-0.099831,55.172465,0
S5_LONDON_ASIA,424,-39.361109,-0.092833,-0.127222,41.538691,1
S6_ASIA_NEW_YORK,434,-34.717642,-0.079995,-0.111475,43.804308,0
