instrument,arm_id,trades_flawed,trades_corrected,net_r_flawed,net_r_corrected,net_r_delta,expectancy_r_flawed,expectancy_r_corrected,max_drawdown_r_flawed,max_drawdown_r_corrected,classification_corrected
NQ_PROXY,S123_M0_NO_MAP_CONTROL,695,695,64.5636147474126,66.17763867391605,1.6140239265034495,0.092897287406349,0.0952196239912461,110.76225662498234,109.64621704470387,POSITIVE_BUT_UNCERTAIN
NQ_PROXY,S123_M1_EMA_MAP,294,294,63.73629328812175,63.73629328812175,0.0,0.2167901132249039,0.2167901132249039,57.04375691774244,57.04375691774244,POSITIVE_BUT_UNCERTAIN
NQ_PROXY,S123_M2_BREAKOUT_MAP,195,195,32.9228755137428,32.9228755137428,0.0,0.1688352590448348,0.1688352590448348,56.61586052643128,56.61586052643128,POSITIVE_BUT_UNCERTAIN
NQ_PROXY,S123_M3_EMA_PLUS_BREAKOUT,165,165,49.21477424845634,49.21477424845634,0.0,0.2982713590815536,0.2982713590815536,40.95420765260379,40.95420765260379,POSITIVE_BUT_UNCERTAIN
NQ_PROXY,S123_B1_STRICT_BASE,102,102,-5.662303545121425,-5.662303545121425,0.0,-0.0555127798541316,-0.0555127798541316,34.88076638898681,34.88076638898681,NO_EDGE
NQ_PROXY,S123_C1_STRICT_CLOSE,275,275,53.05919733582817,53.05919733582817,0.0,0.1929425357666479,0.1929425357666479,57.13941236197688,57.13941236197688,POSITIVE_BUT_UNCERTAIN
ES_PROXY,S123_M0_NO_MAP_CONTROL,681,681,64.71952474021741,72.58431903796168,7.864794297744268,0.0950360128343868,0.1065849031394444,64.24287313501216,60.746437711383855,POSITIVE_BUT_UNCERTAIN
ES_PROXY,S123_M1_EMA_MAP,289,289,-13.873665113654445,-13.873665113654445,0.0,-0.0480057616389427,-0.0480057616389427,75.27274663898538,75.27274663898538,NO_EDGE
ES_PROXY,S123_M2_BREAKOUT_MAP,202,202,-3.102341788866161,-3.102341788866161,0.0,-0.0153581276676542,-0.0153581276676542,74.21341011585726,74.21341011585726,NO_EDGE
ES_PROXY,S123_M3_EMA_PLUS_BREAKOUT,171,171,11.787343903763992,11.787343903763992,0.0,0.0689318356945262,0.0689318356945262,64.60463312366574,64.60463312366574,POSITIVE_BUT_UNCERTAIN
ES_PROXY,S123_B1_STRICT_BASE,98,98,-16.511069214176707,-16.511069214176707,0.0,-0.1684802981038439,-0.1684802981038439,54.15322824234384,54.15322824234384,INSUFFICIENT_SAMPLE
ES_PROXY,S123_C1_STRICT_CLOSE,267,267,11.79863277555788,11.79863277555788,0.0,0.0441896358635126,0.0441896358635126,66.41450696610424,66.41450696610424,POSITIVE_BUT_UNCERTAIN
GBPUSD,S123_M0_NO_MAP_CONTROL,679,682,-293.7496850480225,-276.46505650079587,17.284628547226646,-0.4326210383623307,-0.4053739831389968,293.7496850480226,276.46505650079587,NO_EDGE
GBPUSD,S123_M1_EMA_MAP,259,259,-131.36871836067013,-131.36871836067013,0.0,-0.5072151288056762,-0.5072151288056762,131.56115849445766,131.56115849445766,NO_EDGE
GBPUSD,S123_M2_BREAKOUT_MAP,165,165,-115.38259476597452,-115.38259476597452,0.0,-0.6992884531271183,-0.6992884531271183,115.38259476597447,115.38259476597447,NO_EDGE
GBPUSD,S123_M3_EMA_PLUS_BREAKOUT,130,130,-98.82736564454676,-98.82736564454676,0.0,-0.760210504958052,-0.760210504958052,99.99936069892593,99.99936069892593,NO_EDGE
GBPUSD,S123_B1_STRICT_BASE,90,90,-44.23390493659482,-44.23390493659482,0.0,-0.4914878326288313,-0.4914878326288313,59.18360033151437,59.18360033151437,INSUFFICIENT_SAMPLE
GBPUSD,S123_C1_STRICT_CLOSE,235,235,-108.31855374443644,-108.31855374443644,0.0,-0.460930015933772,-0.460930015933772,117.85411186296125,117.85411186296125,NO_EDGE
