partition,arm_id,trades,net_r,expectancy_r,profit_factor,max_drawdown_r,median_hold_minutes,return_to_drawdown,largest_positive_year_share
older_history,S123_M0_NO_MAP_CONTROL__BOTH_FULL,1580,-43.545805692,-0.027560637,0.971130629,169.860972431,83.0,-0.256361453,0.654957089
older_history,S123_M0_NO_MAP_CONTROL__LONG_FULL,948,51.185889197,0.053993554,1.058395677,104.131676659,97.5,0.49154965,0.563090553
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL,696,-86.132937406,-0.12375422,0.875674928,167.559702984,72.0,-0.514043269,0.509791113
older_history,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK,8537,-1065.432949632,-0.124801798,0.875245749,1150.829766911,50.0,-0.925795439,1.0
older_history,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK_RETEST,7720,-882.181332899,-0.114272193,0.884496298,967.501153957,55.0,-0.911814244,
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_COST_2T,696,-142.732784536,-0.20507584,0.807993266,201.553865871,72.0,-0.708161979,0.534801109
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_1M,687,-102.155175383,-0.14869749,0.850941784,173.533137455,71.0,-0.588678202,0.545058966
older_history,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_5M,653,-117.146267351,-0.17939704,0.819579158,188.935660977,74.0,-0.620032591,0.540112558
forward_2026,S123_M0_NO_MAP_CONTROL__BOTH_FULL,119,25.645478223,0.21550822,1.269433808,28.470126835,71.0,0.900785528,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__LONG_FULL,78,21.292634345,0.272982492,1.345403222,20.155035222,74.0,1.056442428,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL,43,2.123394584,0.049381269,1.059368137,11.521833093,69.0,0.184293121,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK,834,66.698726326,0.079974492,1.086501223,167.971573432,34.0,0.397083417,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_EMA_BREAK_RETEST,773,-41.37477183,-0.053524931,0.941822159,158.533358054,38.0,-0.260984643,
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_COST_2T,43,1.329088303,0.03090903,1.036472848,12.012445237,69.0,0.110642611,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_1M,43,1.811399707,0.042125575,1.050486437,13.808830954,68.0,0.131176905,1.0
forward_2026,S123_M0_NO_MAP_CONTROL__SHORT_FULL_DELAY_5M,43,6.76885466,0.157415225,1.18654967,15.192816352,64.0,0.445529947,1.0
