instrument,year,coverage,expected_open_minutes,active_synchronized_minutes,active_trading_days,median_active_minutes_per_day,p10_active_minutes_per_day,max_gap_trading_minutes,gaps_gt_1day,gaps_gt_5days,timestamp_alignment_share,bid_duplicate_share,ask_duplicate_share,invalid_ohlc_share,negative_spread_count,ask_ge_bid_share,median_spread,p99_spread,median_relative_spread,bid_sha256,ask_sha256,q1_pass,q2_pass,q3_pass,q4_pass,q5_pass,q6_pass
EURGBP,2015,0.9929171988080034,375840,373178,260,1440.0,1437.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.0003500000000000725,0.00012546614156752305,3159d865ea900412073dd26b0c5f49b54dccf3b1590598439624d339e22185a8,4396a91be8621a888b4f419d099b8d02a4efa2aca41bb9523a26c1b8bf058339,True,True,True,True,True,True
EURGBP,2016,0.9954620462046204,375720,374015,260,1440.0,1437.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,9.999999999998899e-05,0.00042999999999993044,0.00011797476650831985,a32948a30233b8262c5474270f5c8fd07f896a29e1fa62648b63c9eb18902845,368045d0477ad2be9671b6edb61a2db12a8209f5f2bbfea0d171d73ff1e19436,True,True,True,True,True,True
EURGBP,2017,0.9965075296379365,374520,373212,260,1440.0,1438.0,872,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.00037999999999993594,0.00010206916887347902,187dc513fd52f16e6cee722e35517038e3953ecc380d53780372fdc18e93106e,691dae7433cd68511e99918f98a69a58392ec2e43e849476a6f411449be6f1e2,True,True,True,True,True,True
EURGBP,2018,0.9931433588761175,375840,373263,260,1440.0,1436.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.00046999999999997044,0.00010199745006378751,e9cb327f2f84422521d85ec32f0dcb5b9bd386aa60d0ed53cea9d00adc9a906a,f792da3bc9c540f969859f1bc700f72191262cdcdfc23d15fde6c486dd40b2b3,True,True,True,True,True,True
EURGBP,2019,0.9922759684972329,375840,372937,260,1439.0,1434.0,1326,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.0005699999999999594,0.00010325067543154136,304eabc434351d50aacaba57697658a56c930ea9250f4c41179ab7fee6bd7dd4,bccbf3b47f5d444311b3f8c4215f14ac68a7f15949deffd7dbb3bc084915cd8e,True,True,True,True,True,True
EURGBP,2020,0.9902830788804071,377280,373614,261,1437.0,1430.0,1322,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.0007099999999999884,0.00010342628291676308,e510333dad8987b2f1c1b67122ec2837ce8d5a8a9b4a783984446c89b4b33c69,e06c1027009061225ef81a5c64c0ef8d994a3d84655fcfeba9c744b19cd5fb59,True,True,True,True,True,True
EURGBP,2021,0.9885872458213564,375720,371432,260,1430.0,1415.9,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,7.999999999996898e-05,0.000660000000000105,9.343065693427035e-05,053c8152d0036cd1cfa1d0fdce6cdab5d5600f816f726062f43a5aba2c8eaca9,f417115667c35536dca9a1f29f6d000dc2b1a9cb2146ce3a623af293b01793b7,True,True,True,True,True,True
EURJPY,2015,0.9934520008514262,375840,373379,260,1440.0,1439.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.00899999999998613,0.03999999999999204,6.388937200286886e-05,7a6c42844e1a3aa12dc27262458ae904308b11584c4defc8f79a6a924318f6f3,e8062a2b5b3d53bb2fbd89526ecdbac9f61bb0d0fb44b2619f5ac82302e40091,True,True,True,True,True,True
EURJPY,2016,0.9960662195251784,375720,374242,260,1440.0,1439.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.007000000000005002,0.043000000000006366,6.0204178171121345e-05,3e20365be458b05cee17a9c1096e74a68fe5b1fa45c6f67c3bdd5f7f67baaee9,5772b4835bef7f1d914972ad924632df112e0828dfab46b01816249f3ac06d1a,True,True,True,True,True,True
EURJPY,2017,0.9966250133504219,374520,373256,260,1440.0,1439.0,872,0,0,1.0,0.0,0.0,0.0,0,1.0,0.006000000000000227,0.0379999999999967,4.496453422426413e-05,7a8ba61c39ac14c1bbdf9962e5156ae68f87d0669d6ede299775476d703073b0,db97300b50c5cd5c151c4c5d4378e2901c596d3c2be492d3dbb437293297bde0,True,True,True,True,True,True
EURJPY,2018,0.9936222860791827,375840,373443,260,1440.0,1439.0,1321,0,0,1.0,0.0,0.0,0.0,0,1.0,0.006000000000000227,0.036000000000001364,4.667517192021834e-05,06229928414f6457dba2f06c7f4b6875b81e581710c8d6e696775d3e91339683,3d3ee268455a1f7345efe7f40428bf6f34da8eb44fcefa4c20f91dcb6783a2ef,True,True,True,True,True,True
EURJPY,2019,0.9931699659429545,375840,373273,260,1440.0,1438.0,1326,0,0,1.0,0.0,0.0,0.0,0,1.0,0.006000000000000227,0.036000000000001364,4.9511486664908135e-05,d5638e82cd7e0e5146a84cd74bb90c6f191e2fdc34b5bc9f7805419970eaf3f8,b1f0633a9c0811906812b2165979e29a1918f0532a792e9b0ccf948c8b79f60d,True,True,True,True,True,True
EURJPY,2020,0.9908953562340967,377280,373845,261,1438.0,1429.0,1326,0,0,1.0,0.0,0.0,0.0,0,1.0,0.006000000000000227,0.05699999999998795,4.984713545128462e-05,5172e32f9a44218747aec02230950a54811af353fd1522cd0469563e6a876f10,1dc2ae1d9521c19062e313d831b7828477834d8341a3b887db87065ec29fdd94,True,True,True,True,True,True
EURJPY,2021,0.9913818801234963,375720,372482,260,1434.0,1425.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.005000000000023874,0.06399999999999295,3.965374351162015e-05,148b025543476d24fd5ef773bd53c53a89becc3fbfcf02255879e69639cc54be,fb686f1b1ef26005784b6ec7e3355fbf05bec66613315639e949bd3d5e9e83f6,True,True,True,True,True,True
GBPJPY,2015,0.9932657513835674,375840,373309,260,1440.0,1437.9,1321,0,0,1.0,0.0,0.0,0.0,0,1.0,0.019000000000005457,0.07899999999997931,0.00010204602275613974,67b4290ed6b915df042c0cabf96576a469f6a383420c4496eda042ce266c026f,125ed669cd06134577792bf465b14d6276b14ff37139f3248c71422ef8b64130,True,True,True,True,True,True
GBPJPY,2016,0.9957415096348344,375720,374120,260,1440.0,1437.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.018000000000000682,0.08799999999999386,0.00012195559381767374,61f9dcb836012a70e90442783a626cc5f1ac187d68bb0643e749dfd0abec9bca,95f2182bee3fe8dbd16970a835f221363be05064877577e5027d989f16d96051,True,True,True,True,True,True
GBPJPY,2017,0.9963980561785752,374520,373171,260,1440.0,1437.0,872,0,0,1.0,0.0,0.0,0.0,0,1.0,0.014000000000010004,0.07900000000000773,9.66103566302998e-05,43b308b69414f3ac6950759909782f7f321077c5d34ce4d5473d3db871d32c1a,e86ba06abba9bde93dd1767cfb1f45914367424af846959578d94efa2cd83438,True,True,True,True,True,True
GBPJPY,2018,0.9930635376756066,375840,373233,260,1440.0,1436.0,1324,0,0,1.0,0.0,0.0,0.0,0,1.0,0.014000000000010004,0.09200000000001296,9.481497534817416e-05,9df338acb3a8e4bf8d9d483bc0400bb6ef770531d032d367e239437208ba5d13,dad6e8939fdf58d9eb70c443485c4ceafa64aafc22bea850b51d8e59cfb34eca,True,True,True,True,True,True
GBPJPY,2019,0.9921269689229459,375840,372881,260,1438.5,1434.0,1326,0,0,1.0,0.0,0.0,0.0,0,1.0,0.016000000000019554,0.10300000000000864,0.00011770611552506209,e644152cda13b51a4ce645733012cf9d78c2a9633b70caf4a15ff9ce2058fa9d,8686925bcf726d14742a27fd6d1ae4b3ed08feeb9699602500a7f10e3fe2ff41,True,True,True,True,True,True
GBPJPY,2020,0.9909033078880407,377280,373848,261,1437.0,1430.0,1324,0,0,1.0,0.0,0.0,0.0,0,1.0,0.015999999999991132,0.12899999999999068,0.0001172272817190731,5032b02ff2f8277fa8d3185717499534483921605949b5cfe2f9991470012996,98835c6eb5e87dfd3e51ee7a3fc99ed62c48b1cc51281b3d0e708e165271e24a,True,True,True,True,True,True
GBPJPY,2021,0.9921271159374002,375720,372762,260,1434.0,1428.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.014000000000010004,0.12399999999999523,9.338126905151314e-05,784ee70fe9af566c794b4d8db1f196ec71947c027c03795fc5b290d8de83b247,ed66012a05c9cad1b17d23f4d3861ec6bbabd9ab8ea2a39218ab8eaff253b9f4,True,True,True,True,True,True
NZDUSD,2015,0.9917039165602384,375840,372722,260,1439.0,1434.9,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.00012999999999996348,0.0005100000000000104,0.00018467464285232358,1792233dacd5d3a8126f106178cba5312088ae35ed1fe11b6fb14a55350dd197,18c6f0c5a57c01ff7219f41e435fb9b6f16648b69722b442b1c5c7b10afc1e65,True,True,True,True,True,True
NZDUSD,2016,0.9941765144256361,375720,373532,260,1439.0,1434.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.00012000000000000899,0.0005300000000000304,0.00016810446928663264,9a1e9cbc030f79d526c7597f8584b69b55b24d9b35dd76aa3898829eb2b42072,f0666dff63fcc2fcd49fe0496ad80d403ffe4471c4ad22a39cf3f09f019bbf8e,True,True,True,True,True,True
NZDUSD,2017,0.9951911780412261,374520,372719,260,1439.0,1435.0,873,0,0,1.0,0.0,0.0,0.0,0,1.0,9.00000000000345e-05,0.00039999999999995595,0.0001262280941662066,c12267d6c9009caab69aff6db6f23637663f9630e068e5fca4546b6d4ed644fe,0a47cf8acf3237896df7885ef6f2e5b8720a9c0c473e8c61907878503ee7cdd6,True,True,True,True,True,True
NZDUSD,2018,0.9919593444018732,375840,372818,260,1438.0,1433.0,1321,0,0,1.0,0.0,0.0,0.0,0,1.0,9.999999999998899e-05,0.00041000000000002146,0.00013707267593276448,bbd8adad2363daf84dc6c8a97a47ab079621aed57feedaf66957e44ce3f76d31,320353c24fa9f8b0253ef83cab618ecbf530b6131032bca6865d0fee3b810f31,True,True,True,True,True,True
NZDUSD,2019,0.9920657726692209,375840,372858,260,1439.0,1434.9,1322,0,0,1.0,0.0,0.0,0.0,0,1.0,0.00010000000000010001,0.00041000000000002146,0.00015881334667363698,7a36fef238d214c07011ebe241534e1456ffcfecb6165ae390c7624af9733d30,1b4bc3acb933761de305c67f429e89773c8c029b11bf265edaa833aa85082f6d,True,True,True,True,True,True
NZDUSD,2020,0.987409881255301,377280,372530,261,1434.0,1419.0,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.00012000000000000899,0.0005100000000000104,0.00018035620350176292,0b29bc56907827eca35cf923e1490c81d4752a7801003d73d00d5bc61a9ca417,e1e0c07803042ab133281d40eded8df7780b145b5231bec090f40dada6d7fd3e,True,True,True,True,True,True
NZDUSD,2021,0.9853534547003088,375720,370217,260,1426.0,1409.9,1320,0,0,1.0,0.0,0.0,0.0,0,1.0,0.0001100000000000545,0.0007800000000000029,0.0001623029310433031,28e0eb78e723aa2623c2a483ba16ccd5b17febcef0d491b382daf25a84d61df1,0f4c078270766595e0a58d95cce1ad2633d28243f175b8b6b19203b416ce3301,True,True,True,True,True,True
