instrument,status,reason,artifact_id,artifact_digest,outcomes_viewed_before_freeze
AUDCAD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
AUDCHF,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
AUDJPY,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
AUDNZD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
CADCHF,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
CADJPY,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
CHFJPY,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
EURAUD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
EURCAD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
EURCHF,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
EURGBP,ADMITTED,PASS_Q1_Q6_2015_2021,8609390279,sha256:76dd7d15740cb09acecf8c515fd5b23c8260ab5922148f299a8234f157658320,False
EURJPY,ADMITTED,PASS_Q1_Q6_2015_2021,8607615180,sha256:ea6c0bf6796f0f5fb800e96acf503bc146c5de7d8483afa5580b7d1874443452,False
EURNZD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
GBPAUD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
GBPCAD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
GBPCHF,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
GBPJPY,ADMITTED,PASS_Q1_Q6_2015_2021,8608715588,sha256:068d4ce85d86ce7c5295f994671ec9fcc41def3a47048d301b5958dded3b7fae,False
GBPNZD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
NZDCAD,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
NZDCHF,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
NZDJPY,EXCLUDED,Q1_NOT_AVAILABLE_IN_FROZEN_QUALIFIED_SOURCE_RUN_30111481052,,,False
NZDUSD,ADMITTED,PASS_Q1_Q6_2015_2021,8607197707,sha256:38c580cbad9e040cfa07fca39cb9bde299f0d57be6dc1868ad339b81237af2b1,False
